idiom,contents
다다익선,"팽이치는 인생 평범한 요요러는 쳇바퀴를 굴려야한다 그만두진 않겠지만, 로또에 당첨된다면 얼마나 좋을까. 돈이 모든 것을 해결해 주진 않겠지만 자본주의 사회에서 어쨌든 [IDIOM]인 건 분명하다. 그러나 자, 헛된 꿈은 이쯤 하고, 슬픈 운명이지만 받아들여야 한다. 인생에 있어 게임마냥 공략집이"
불철주야,"경기 방세환 광주시장 당선인, 초심의 마음으로 [IDIOM] 다시 또 뛸 것"
감언이설,"아무리 좋은 팀장, 관리자도 없느니만 못하다 꿈꾸는 이상적인 회사 1 권해드린다. 우리 직원들이 가끔씩 나에게 회식자리에서 하는 말이 있다. ""팀장님! 오늘은 끝까지 같이 가시죠!"" 직원들의 [IDIOM]에 속는 눈치 없는 관리자는 되지 말자. 함께 읽으면 좋은 글 꿈꾸는 이상적인 회사의 모습 시리즈 나는 한 회사의"
이구동성,이야기 홍 윤 기살아온 이야기 살아갈 이야기
수적천석,"천기유동,[IDIOM] 천기유동 봄날 꿀을 채집하는 모습에도 하늘의 조화가 유동하고 있다. 생명의 움직임이 자연의 흐름인것 같아 . [IDIOM] 떨어지는 물방울이 돌에 구멍을 낸다. 꾸준함의 힘, 그 놀라움"
삼인성호,의 선거 쿠데타 시나리오! 은 안녕한가?
감언이설,"센터 적응을 위한 필살기, [IDIOM] 치매도 육아처럼 20"
불철주야,생명의 흐름 퓰리처상 사진전을 보고
망양지탄,사자성어 공부 [IDIOM]
불철주야," 때 보지 못한 그 꽃 , 고 은 고은 시인의 이 시는 많은 것을 이야기해 줍니다. 젊은 날 성공을 위해 생존을 위해 [IDIOM] 달려온 인생에서 미처 보지 못한 소중한 가치를 내려갈 때 비로소 보게 되는 이치. 이제 거창한 목표나 꿈보다는 소박"
마호체승, 동우각마 뿔없는 송아지와 뿔있는 말. 도리에 어긋남 마각노출 말의 다리가 드러남. 숨기려던 것을 들킴. 마행처우역거 말 가는 데 소 간다. 남이 하면 나도 할 수 있음 [IDIOM] 말도 갈아타는 것이 좋다. 망자재배 조마조마하면 눈치를 봄
다다익선,중국 외식브랜드의 디지털 전환이 만든 새로운 소비패턴 성공한 중국 기업이 있습니다. 핀뚜어뚜어라는 기업입니다. 핀은 중국어로 함께라는 뜻을 가지고 있는데요. 뚜어뚜어는 [IDIOM]의 다자를 써서 함께하면 많은 혜택을 얻는다라는 뜻을 가지고 있습니다. 2015년부터 시작해 불과 5년 만에 현재
수어지교,"자비스, ""영수증 정리를 넘어 경영 지원의 비전으로"""
군계일학,고고한 학의 모습이라면 내면의 품성도 봉황 같아야 남북조시대를 되새기다 7 [IDIOM] 뛰어난 아들보다 그의 아버지는 더욱 뛰어나다고 말해 결과적으로는 혜강을 더 나은 학으로 묘사하는 모양이 되었지만 [IDIOM]의 일화는 아들인 혜소를 지칭한 내용으로 진서 혜강 전과 세설신어 지용 편에 실린 글이다. 많은 사람 가운데 돋보이는
적반하장,"상간녀 상간남 [IDIOM] 날뛰더라도 소송으로 상간녀 상간남, [IDIOM] 태도 폭력보단 소송으로 누구보다 믿어왔을 배우자의 외도 사실을 알게되었을 때의 배신감과 상실감은 상상조차 하기. 배우자에 대한 분노도 크지만, 외도 사실이 밝혀졌음에도 용서를 구하기는커녕 [IDIOM]인 태도로 날뛰는 상간남 상간녀로인해 괴로워하시는 분들이"
적반하장,"당신의 아이는 '개'입니다 [IDIOM] 도둑이 도리어 몽둥이를 든다는 뜻으로, 잘못한 사람이 도리어 잘 한 사람을 나무라는 경우를 이르는 말 억울하고 어이없는 [IDIOM]인 경우가 종종 있지만 최근 '반려견'을 키우는 견주들로 인해 자주 생각나는 고사성어다. 박물관"
감언이설,그가 흘린 땀이 나는 눈물로 느껴졌다 리뷰
망양지탄,[IDIOM] [IDIOM] 광대한 바다를 보고 탄식하다 사람의 위대함에 감탄하고 자신이 도달할 수 없음을 부끄러워하는 것이다. 후에 역부족으로 손을 쓸 수 없고 어찌해야 좋을지 모르는 것을 의미하게 되었다
감지덕지,"분가한 아들, 격주 반찬 셔틀 4년 차. 엄마는 밥이다"
다다익선,예레기의 기쁨과 슬픔 나를 살아가게 하는 예쁜 쓰레기들 사람이 있다. 1. 설레지 않는 물건은 버려야 하며 최소의 소유가 최대의 기쁨이라 믿는 미니멀리스트 2. 물건도 행복도 [IDIOM]이라 믿는 맥시멀리스트 사실 나는 태생적으로 자발적인 미니멀리스트란 불가능하다고 생각한다. 미니멀리즘을 지향하는
대기만성,"831926 토니베넷, 92번째 생일을 축하합니다 토니 베넷 I left my heart San Francisco"
환골탈태,"마음에 드는 패션브랜드 하나는 반드시 찾아야 할 이유 한 브랜드를 알게 되었고, 옷에 대한 고민이 사라졌다"
불철주야,"개발자의 전성기? 억대 연봉의 허상인가 기회인가 결국 또 중요한 것은 파트너십과 마인드 중에는 워라벨을 내세우며 자로 잰 듯 일을 하시는 분도 계시고, 본인의 일의 범위를 넘어 서비스의 성공과 성장을 위해 [IDIOM] 노력하는 분도 계십니다. 어떤 분이 앞으로 더 좋은 성과를 내고, 더 큰일을 하실지는 알 수 없습니다. 정답은 없으니까요"
백전백승,"322 잘 나가던 자영업자가 망하는 단 하나의 이유 03 모공 적을 알고 나를 알면 위태롭지 않다 한 번은 지게 될 것이며, 적을 알지 못하고 나도 알지 못하면 싸울 때마다 반드시 위태롭게 될 것이다. 흔히 ""지피지기면 [IDIOM]""이라고 누구에게나 알려진, 손자병법에서 가장 유명한 구절이자, 많은 전략 중에 가장 중요한 부분입니다. 마치 모든 싸움"
백발백중,"[IDIOM] EBS수능특강 평가문제집 문학 고3내신 수능대비 미리 [IDIOM]에서 나오는 EBS 수능특강 평가문제집을 살펴봤어요. [IDIOM] 출판사는 중학교 중간, 기말고사 대비 교재 판매율 1위 회사로 이미 유명하더라구요. EBS 수능특강 변형문제집 판매부수 예스24, 인터파크도서, 알라딘 3년 연속 1위 첫장을 넘기면 1학기 중간고사 계획표가 있어요"
대기만성,"훈훈하고 든든한 댓글 쓴 글이니 성의를 봐서라도 꼭 읽어 주십사 부탁하는, 기성 작가 발가락에 낀 때만도 못한 얼치기임을 모르지 않지만 [IDIOM] 미담의 주인공이 되지 말란 법도 없어서 부산 구석진 어디메서 늦깎이로 글짓기 연습에 한창인 김 아무개에게 관심 좀 가져"
적반하장,"법사위, 대장동 개발고발 사주 공방여야 서로 [IDIOM]"
다다익선,'[IDIOM]' 즉 '많을수록 좋다'라는 뜻의 헐후어가 있다. 한신이 병사를 거느리니[IDIOM]이다 이 헐후어는 역사적 이야기를 담고 있다. 한신은 중국 역사상 유명한 장군이다. 평민에서 출발해 대장군이 되었다. 그리고 전쟁에서
환골탈태,"'무한한 가능성'이라는 말이 위험한 이유 가능성과 기회가 널린 시대, 왜 우울할까 퇴근하고 나서 조금만 더 몸을 움직이면, 하루에 몇 시간을 투자하면, 어떤 목표 지점에 이르면 인생이 180도 바뀌고 [IDIOM]하듯 다른 사람이 될 거라고 생각했다. 모든 것에 남 탓을 할 수는 없지만 세상이 내게 외치는 말에도 영향도 받았다. 당시에는"
불철주야,문호 개방
노심초사,한 여름밤의 유혈사태 별소리일기 ep.72 되다 보니 밴드를 붙여놔도 떨어지기 일수다. 접착성이 강한 밴드를 붙이려니 얇디얇은 피부가 밴드로 인해 벗겨질까 [IDIOM]하게 되니 살살 붙이게 돼버리고 만다. 참 여러모로 총체적 난국인 셈이다. 그런 상황에 집에 이 난리가 난 것이다. 정말 처음
호각지세,우즈 VS 미켈슨 [IDIOM] [마니아리포트 이사부]미국PGA투어의 영원한 라이벌인 타이거 우즈와 필 미켈슨. 사실 메이저 우승 수나 미국PGA투어 우승 수 등을 비교하면 라이벌이라고 까지 하기에는 차이가 나지만 그래도 인기 면에서는 분명 라이벌 임이 틀림없습니다. 성추문 사건 이전까지만 해도 우즈는 웬만한
불철주야,"3.놀이 실종 시대 행복은 분명 있다, 놀이 속에"
감언이설,"사건이 벌어지지 않을까 싶었던 새아빠가 있는 집에 어린 동생들을 두고 나왔으나, 꿈은 가족을 이루는 것이다. 거짓말로, [IDIOM]로 영업을 하는 제이크의 방식을 스타는 비판한다. 거짓으로 꾸며내면서까지 판매실적을 올리고 싶진 않은 것이다. 그런데"
백전백승,인생에서 가장 찬란했던 2020년 2020년을 마무리하며 5kg 감량을 했고 전공서적을 비롯한 수십 권의 책들을 읽으며 마음을 수양하고 있다. 중국 전국 시대의 병법서에 '지피지기 [IDIOM]'이라는 말이 있다. 신체와 마음에 대한 정확한 진단과 예방은 올바르고 건강한 정신을 가지게 한다. 그리고 여러 가지
청빈낙도,고즈녁한 수행사찰의 모습
군계일학,도날드 트럼프를 묘사한 푸드 아트 식사 후에 보자
망양지탄,[IDIOM]과 선택장애
종무소식,간단한 공지? 종무룩. 소식 뜸하다고 이웃끊고 그러시진 않을거라 믿어요! 이제 막 블로그이웃분들이랑 친해져서 재밌었는데 다들 바빠지실텐데 그래도 블로그에서 간간히 뵈요! 내일 개학 또는 개강이신 모든 분들 저랑 같이 힘내요! 시무룩. 종무룩.
불철주야,"지휘관의 자격 안 되었다. 다시 한번 말하지만, 검찰은 국민의 적이 아니라 존중받는 준사법기관이어야만 하며, 그 기관 내에서 [IDIOM] 일하는 검사들의 노고 또한 존경받아야 함이 마땅하다. 2019년에 서초동에서는 ""검찰개혁 찬성, 조국 장관 정겸심 사랑해요!""라는"
백전백승,"베를린, 탐욕과 분열의 장벽을 넘다 [영화리뷰]절대가치 사라진 무정부도시에서 자기 정체성을 찾아 떠나는 여정 그냥 쥐죽은듯이 살아라. 평범한 사람처럼."" 극중 정진수의 대사 중에서 영화는 당의 명령에만 충성해오며 [IDIOM]을 자랑해온 인간병기이자 베를린 공관의 북한 첩보원 종성이 실패하지 말아야 할 국제 무기거래상과 무기 밀거래에 실패"
감언이설,용궁에 정착한 토끼.군소 이야기 토끼가 바다 속에 자리 잡은 것이라는 재미있는 전설도 있다. 용왕의 병을 고치기 위해 토끼 간을 구하러 온 자라는 [IDIOM]로 토끼를 용궁까지 데려온다. 이에 기지를 발휘한 토끼가 간을 육지에 두고 왔다는 핑계를 대고 무사히 돌아왔다는 별주부전의
노심초사,"31살의 크로스핏 대회 도전기 K Box Rise 2022 후기 순간 지금까지 수행한 횟수에서 10개씩 차감이 되는 규칙이 있어서, 나 하나 때문에 형편없는 기록이 될까 두려워 [IDIOM]했다. 그리고 모든 예선 와드를 마쳤을 때, 놀라운 기록이 기다리고 있었다. 무려 180여 팀 중에서 10위로 예선을 통과한 것이었다"
환골탈태,프레스랙 창고방 정리 [IDIOM] 각
적반하장,"[IDIOM] 박근혜, 국민에게 사죄가 우선입니다 박근혜의 [IDIOM]에 혀를 내두를 지경입니다. 지금이라도 국정농단을 저지른 범죄 행위에 사죄하는 것이 국민에 대한 최소한의 도리입니다. 문재인 대통령도 국민들에게 사죄를 해야 합니다. 일말의 사과와 반성조차 없는 박근혜를 사면하는 것은 촛불혁명에 대한 배신입니다. 이러려고 촛불"
이구동성,별내 카페 [IDIOM]로스터리카페 루프탑에서 즐기는 달콤한 디저트 맛집
백전백승,"오늘도 검색창을 서성이는 당신에게 발달장애를 물을까, 감각통합을 물을까, 그도 아니면 어찌 사느냐를 물을까 남에게 말하기 부끄럽거나, 공감해주지 못할 고민거리가 생길 때면 어김없이 검색창에 묻곤 했습니다. 적을 알고 나를 알면 [IDIOM]이라던데, 나는 적이 누군지 이름만 알 뿐 어찌하면 좋을지 도통 몰랐지요. 그럴 때 검색창은 나의 궁금함을 채워주는"
적반하장,"시어머니의 본심 팔은 결국 안으로 굽는다 말인가. 내가 지금 이 지경에 이 사람 가족들을 만나고 싶어 할까. 대체 누가 할 소리를 하는 건지. 정말 이 집안은 [IDIOM], 겉 다르고 속 다른 게 가풍이구나. 이혼 사유도 말해줄 수 없다며 갑자기 이혼하자는 자식새끼나, 다 털자고 말하고서는"
불철주야,소비자가 변했다 식이다. 원래 소비자는 종잡기 어려울 정도로 수시로 변심하는 존재다. 그래서 공급자는 소비자의 마음을 사로 잡기 위해 [IDIOM] 연구하고 노력하며 주의를 끌기 위해 광고를 하고 홍보에 온 힘을 쏟는다. 이제는 그런 광고와 홍보도 소비자의 후기에 두
감언이설,정치인은 결코 직업이 아니다. 정치를 사리사욕을 채우는 최상의 직업이라 여기는 자들에게
다다익선,"운동은 짧고 굵게! [52권 자기 혁명] 그레첸 레이놀즈의 운동을 하는 사람은 삶의 질이 낮아질 가능성이 다른 그룹에 비해 현저히 낮은 것으로 조사됐다. 1970년대만 해도 운동은 [IDIOM]이라는 것이 중론이었다. 1984년, 달리기의 아이콘이었던 짐 픽스가 마라톤 훈련 도중 급성 심장마비로 52세라는 이른 나이"
환골탈태,"나만의 집 인테리어 비우기와 버리기, 그리고 대청소 흙 일부와 새 흙을 섞어 채우고 작은 돌멩이들로 갈무리했다. 남편은 마무리되는 대로 하나씩 집으로 옮겼고 아들은 화분의 [IDIOM]를 지켜보며 연신 감탄을 자아내는 엄마를 신기한 듯 쳐다봤다. 세 개의 화분이 완성되자 식물의 이름과 물 주는 주기를"
다다익선,산책 나오셨나요? 반갑습니다! 강아지가 친구를 만들어 주었다
적반하장,선인장 사이에서 버티는 삶에 대하여 적절하지 않은 단어 선택은 듣는 사람의 뒤통수를 때리고 어리둥절하게 만든다. 갑자기 띵 맞는다는 게 이런 건가 싶다. [IDIOM]임을 정말 몰라서 그러는 걸까 의심이 된다. 이렇게 생긴 내 가시가 나는 어디로 향할지 모른다. 나 또한 누군가를 찌를
백발백중,"영어? 뭣이 중헌디! 왜 말을 못 해, 왜 말을 못 하냐고"
백전백승,[IDIOM] 2. 싸움이나 경기를 할 때마다 다 이기다
환골탈태,"거지같이 투자해도 되겠습니까? 워킹맘 투자 경험담, 광양 아파트"
노심초사,여로에서 모두들 돌아서 간다
감언이설,영화 '알라딘' 소원을 말해봐!
불철주야,"제주동문시장, 어디까지 알고 있나요? 제주사람들의 삶의 저편. 동문시장"
백전백승,내 안의 울림을 듣고 영업한다 영업의 99는 멘탈 싸움이다
불철주야,"세대별 천차만별 직장인 명절 스트레스 ""30대 워킹맘, 이보다 더 스트레스 받을 순 없다!"""
백전백승,30대가 되기 전에 하고 싶던 일들 행복해도 번아웃이 올 수 있나요?
종무소식,"나의 중동 이야기 보험회사, 시장, 경찰, 그리고 병원 문제는 그 국산품을 사용해도 이삼일만 회사에 나오다가 그 다음엔 [IDIOM]. 그러니 일을 해야 하는 직원들은 면허 없이 운전하다 재수 없이 걸리면 유치장 신세를 졌다. 그러면 역시 운전면허 없는 내가 차를 몰고 경찰서로 찾아가 내 이름으로 신원보증을 해 석방시킨 다음, 그 사람들을"
청빈낙도,[서평] 유대인 하브루타 경제교육
환골탈태,"우습게 들어가는 넉넉한 크기의 거실, 심지어 비밀 실험실까지 갖추고 있다. 그러니까 그는 노후 주택을 수익형 부동산으로 [IDIOM]시키는 투자의 귀재이자 은둔형 과학자이기도 했던 것. 출처 youtube.com 곰돌이 푸우와 피글렛 이후 최고의 콤비를"
적반하장,진심 어린 사과를 건네는 사람 전형적인 수동공격성 반응이다. 그리고 또 열등감을 가진 많은 이들은 잘못을 해놓고도 오히려 [IDIOM]으로 화를 내는 것이다. 그렇기에 사과를 할 수 있다는 것은 이런 열등감이나 낮은 자존감으로부터 자유롭다는 것을 뜻한다. 무엇
수어지교,"괴산 내수면양식단지 연결다리 ""[IDIOM]"" 준공식, 내수면산업 클러스터 완성"
백발백중,직당아재가 꿈을 가지면 불법은 아닌거죠? [점심을 먹으며 뻔뻔함을 충전합니다 3] M. S. G. 넘치는 삶
마부작침,그런 세상 [드라마] 날아라 개천용 2화 주먹보다 아픈게 믿음이 배신으로 돌아올 때에요. 6회 지금은 도끼를 갈아서 가는 바늘을 만들어야 하는 [IDIOM]의 시간으로 보십시오. 급하게 뭘 하겠다는게 중요한게 아닙니다. 7회 어려우니까 해야죠. 쉬운건 누구나 다 하잖습니까
백전백승,지피지기면 [IDIOM] 유전자다이어트가 궁금하다면
노심초사,바야흐로 댄스 본능 시대 춤이란 지금 이 시대의 갈망을 표하는 언어일지도 모른다
다다익선,"스펙도 [IDIOM]인가요? Part1 스펙에 대한 잘못된 생각 본 글의 모든 저작권은 코멘토에 귀속되나, 내용의 수정 없이 출처를 밝히고 공유하는 것은 가능합니다. 취업이 어려워지면서 스펙에 대한 고민은 더 이상 취업의 문턱에 있는 4학년 2학기 학생들만의 문제가 아닌 것 같습니다. 3학년은 물론이고"
다다익선,"과공감, 과몰입 방지턱 [IDIOM], 거거익선. 공감력의 추천 사이즈는?"
적반하장,"역사 예능에 빠진 우리와 아편에 빠진 중국인이 다를까 사장은 아무나 하나요? 다시 하겠습니다. 그래서 고흐는."", 아이고, 이게 뭐야, 나는 어이없는 웃음을 연신 떼어낼 줄 몰랐다. 이 모두가 [IDIOM]의 뻔뻔함 때문이다. 미술관의 미술품과 화가보다 도슨트의 나레이션에 감동받는 관람객, 역사적 고찰과 탐구보다 인스턴트"
개과천선,"에 대한 소스를 준비했습니다. 에디터 개인 사정으로 발송이 늦어졌어요. 기다리셨을 님, 죄송합니다. 디즈니는 지금 [IDIOM] 중 그간 디즈니에서 만든 실사 영화는 기존 애니메이션 원작의 스토리를 그대로 가져오는 식이었습니다. 하지만"
삼인성호,[IDIOM]삼인시호
노심초사,"리스본에서 만난 사람들과의 기묘한 동행 40일간의 대학원 졸업기념 유럽여행 8 알려진 인공재해에 해당한다. 유럽의 숱한 인종차별을 겪어온 우리로서는, 이 곳에서도 안와요 안와 현상을 또 겪을까 [IDIOM]하기 바빴는데, 그 결과로서 동양인만 앉아 있는 우리 테이블의 주문은 늦게 받고 거스름돈 계산도 틀릴 것이라는 예상을 했다"
대기만성,"마포 역전식당 [IDIOM] 상차림 마포밥집,점심회식,세트메뉴"
독서망양,장자의[IDIOM]과 알랭 드 보통의 불안
불철주야,[[IDIOM] 팸미][지박소년 하나코군 상황문답] Rewrite the stars 유기 아마네 ver
환골탈태,변화 진실에 충실하기 위하여
백전백승,[책 출간기] 03. 누가 내 책을 읽지? 내 책의 독자층을 파악하자
다다익선,그럼에도 불구하고 공지영
불철주야,중종은 조광조를 가스 라이팅 했을까? 중종실록
이구동성,KAL호텔 폐업 사태와 제주지역경제
대기만성,"프리랜서 Diary 배부른 이는 소화제를 찾는다 전북 일정을 가진다. 입니다. 당장 한 군데라도 가서 뭔가 하는 것보다 중요한 건 넉넉하고 여유로운 마음으로 내실을 다지고 [IDIOM]을 기다리는 게 아닐까 하는 생각을 하게 되었거든요. 이런 생각을 하게 된 이유에는 여러 가지가 있지만, 가장 큰"
이구동성,꽃 중에 꽃 잡초 인생 꽃 중에 꽃 잡초 인생 시. 갈대의 철학[겸가] 꽃밭에 피어난 잡초 하나 [IDIOM] 꽃도 아니라는데 꽃이 되고파 꽃으로 불러달라 하네 내 눈에는 주변 아름다운 꽃들로 둘러싸여 있는 네 모습이 진정으로 꽃 중에 꽃이라네 2022.6.12 강변 트래킹에서
수어지교,아산맛집 지중해마을맛집에는 [IDIOM]가 짱입니다
감지덕지,"불면, 혼자를 감당못하는 순간 내려온 동아줄처럼 반갑다 불면의 지옥에 열린 탈출문 누군가 나를 부르고 필요로 한다는 것은 로또 따위는 비교도 안되는 고맙고 눈물겨운 은총이다 생명을 살리는 자비다 심연의 외로움과 불면에 시달려본 사람만 경험하는 이 감동의 순간은"
마부작침,다음은 부문별 수상자와 수상작 명단. 대상 중앙일보 2016 대한민국 검사의 초상 기획취재보도 부문 SBS [IDIOM]팀 뉴스 및 콘텐츠 운영 부문 경향신문 모바일팀 뉴스 서비스 기획 부문 카카오 스토리펀딩 멀티미디어 스토리텔링
군계일학,외로움도 어쩌면 일종의 스트레스일 것이다 외로움 중에 가장 큰 외로움은 사람 속에서의 외로움일 것이다 외로움 중에 가장 큰 외로움은 사람 속에서의 외로움일 것이다. 속해 있을 때 어쩌면 사람은 가장 행복한 것인지도 모른다. [IDIOM]과 같이 특출하면 오히려 주변 사람으로부터 시샘을 받거나 소외되기 쉽다. 뛰어난 사람에게는 도움을 얻기
불철주야,"어디에서나 진정한 내가 되기 관성을 벗어 던지고, 주도적인 삶을 되찾는다"
환골탈태,사람만 [IDIOM]하는 게 아니다 드디어 부엌이 6개월 만에 완성이 되다
환골탈태,우리 이제 그만 싸우자 우리 부부의 세계를 지켜내기 위해
노심초사,현직자가 뽑은 같이 일하기 싫은 동료 TOP4 살펴야 한다. 정신노동이 2배다. 동료가 아니라 직장 상사 얘기면 더 곤란하다. 언제 어떻게 나에게 불똥이 튈지 몰라 항상 [IDIOM]해야 한다. 급기야 승인받아야 할 건이 있다면 잠시 상사가 기분 좋아진 틈을 찾아 비집고 들어가야 한다. 기분이 태도
다다익선,"무역 직업 해외영업 VS 포워딩 무슨 일을 하는데? 다양한 무역업의 직업들 해야 되나요? 어떤 스펙이 필요한가요? 궁금해하는 사람들이 있다. 누누이 말하지만 우리나라에서 스펙이란 고고 익선, [IDIOM]입니다. 영어 점수도 높으면 높을수록 좋고, 자격증, 관련 경험은 많으면 많을수록 좋습니다. 나는 입사 당시 오픽"
감언이설,인생의 가변도로에서 우리 모두는 미생이다 된다는 것은 스스로에겐 도전이란 이름으로 방황하는 것이다. 경험과 도전을 실패로 보지 않고 과정으로 보는 것. 타인의 '[IDIOM]'과 '좋아요' '구독'에도 묵묵히 제 길을 가는 것. 이 진짜 멋진 사람이란 걸 알았다. 사람들은 나를 보고 멋지다고 말
환골탈태,"'바뀌고 싶다'는 식상한 다짐, 그 식상한걸 해내려한다 나의 '따라 하기' 연대기 무진장 노력 중이다. 일뿐만 아니라, 삶에 대한 태도, 대인 관계 등 나를 힘들게 하고 부족했던 부분을 꽉꽉 채워 넣고 [IDIOM]라는 멋진 성어를 몸소 실천하고 싶다. '바뀌고 싶다'는 이미 많이 소비된 식상한 다짐. 그 식상한 걸 지금 해내려고"
감언이설,말라위 은코타코타 사파리의 매력 잘 알려지지 않은 사파리 않게 느껴졌던 건 말라위 특유의 감성오바하지 않는이 사파리에서도 고스란히 느껴져서였다. 그냥 있는 거 보여주고 어떤 [IDIOM]도 얹지 않는 순진한 장사꾼 같은 말라위의 감성이 관광지에서도 느껴졌다. 다른 나라같으면 사파리와 연계한 여러 관광
환골탈태,일단 아끼고 절약하면서 돈을 모으자 3 늘직테크
마부작침,도끼를 작은 바늘이 될때까지 간다는 것은 어려운 일이라도 끈기 있게 노력하면 목표를 이룰 수 있다는 뜻. 저 역시 타운하우스 부지를 매입함에 있어 정말 안될 것 같았던 일들도 포기를 하지 않고 죽을 각오로 노력을 한 결과 소유권이전을 완료한
감언이설,왜 유튜브는 '유튜브프리미엄' 광고에 열심일까 최대한 돈 안내고 버티는 게 이익입니다
대기만성,"내 인생, 급등주처럼 내게도 그날은 오는가 주인의 젊은 시절을 뜻한다. 반대로 사적 영역은 결과를 만들어가는 중장년 시기를 나타낸다. 결과는 중장년에? 또 그놈의 [IDIOM]인가. 속단하긴 이르다. 여덟 글자는 10년마다 새로운 국면을 맞이한다. 대운이라 불리는 에너지다. 이뿐이 아니다. 매년"
적반하장,"감정의 시계는 저마다 다르게 흐른다. 내가 건넨 건 화해였을까, 강요였을까 농담으로 건넨 말에 사뭇 진지한 대답이 돌아왔다. 그의 대답을 듣자마자 나의 입가에 미소가 사라졌다. 충격이었다. [IDIOM]도 유분수지. 먼저 사과를 한 사람에게 오히려 이기적이라는 논리는 도대체 어디서 온 걸까. 나는 남편의 대답이 너무나도 섭섭"
삼인성호,"[결정적한마디]67 루머는 언제 생겨나는가 세 사람이 모이면 없은 호랑이도 만든다. 위나라 혜왕과 신하 방총의 고사에서 유래된 말. 루머는 개인의 삶을 망치고, 조직 전체를 무너뜨린다. 근거 없는 이야기가 한두 번 들린다고 해서 안심할 것이 아니다. 잘못된 것을 바로 잡는 것은 미루지 말고"
다다익선,"냥이의 중성화, 꼭 해야 할까요? 애완 고양이, 중성화 수술을 꼭 시켜야 할까? 스터'를 통해 ""고양이 한 쌍과 그 후손들은 7년 동안 약 42만 마리의 새끼를 낳을 수 있다""고 밝혔다. 물론 [IDIOM]이라는 옛말도 있지만, 고양이를 키우는 사람들 중 일부는 그 많은 새끼들과 어미 고양이를 한꺼번에 책임질 수 없다"
감언이설,뉴욕에서는 이런 사기꾼을 조심하세요. 사기꾼 유형 전 세계적으로 '사기꾼'은 많다. 온갖 [IDIOM]과 거짓말로 상대를 현혹하고 뒤통수를 냅다 갈기는 그런 사기꾼들 말이다. 살면서 다양한 활동을 하게 되다 보니 사기꾼을 종종 만났었다. 하지만 지금까지 만났던 사기꾼의 대부분은 뉴욕에서 만났다
이구동성,"눅스가 무슨 뜻이에요? 따로 또 같이 자기답게 살아가는 Seoul Nooks 이름 이야기 뿐만 아니라 커뮤니티에도 있다는 뜻이다. 우리는 세상에 관심이 많다. 더 나은 사회에 대한 열망을 공유한다. 한편 사회가 [IDIOM]으로 소리치는 '나은 삶'에 대한 목소리로부터는 자유롭고자 한다. 우리는 각자가 더 자기답게 살아가는 것, 그리고 서로"
