idiom,contents
다다익선,"보험은 보험일 뿐입니다. 티끌을 모으면 진짜 태산이 됩니다6 게 아닙니다. 미친년 아녀. 그림출처 앞서 잠시 이야기한 것처럼. 보험은 필요하지만, 어느 정도까지만 필요하다. 이마트 [IDIOM] 행사처럼 많으면 많을수록 좋은 것이 아니다. 당신이 가입되어 있는 보험이 몇 종류인지. 그 보험이 보장하는 질병들이."
대기만성,"청춘들의 꿈을 담다 작가 김인옥조치원 도시재생 청년 서포터즈 6기 있는 다양한 기회들이 앞으로도 더욱 많아지기를 기대해 보며, 내가 좋아하는 사자성어를 끝으로 이 글을 마무리 하고자 한다. [IDIOM]! 한자 그대로 큰 그릇은 늦게 만들어진다는 뜻으로, 노자 41장에 나온 사자성어다. 큰 사람이."
백전백승,"0. 우리가 헤어진 이유 헤어짐을 배워서 헤어지지 않을래 다행히 시간은 이별의 가능성을 받아들이는 것 또한 이별을 피하는 조건이라는 걸 가르쳐주었습니다. 적을 알고 나를 알면 [IDIOM]이라고 하지요. 헤어짐을 아는 것, 이 또한 사랑을 지속하기 위해 필요한 것입니다. ""우리가 헤어진 이유""는 이런 시선."
백전백승,"슬기로운 강릉생활 생각의 전환, 생각의 가치 출연하기 전에 완전히 그 캐릭터가 되기 위해 온전하게 그 사람이 되는 연습을 한다고 나에게 이야기 하셨다. '지피지기면 [IDIOM]'이라는 것처럼 문제의 무게를 논할것이 아니라 상대의 의도나 생각을 알기 위해, 실로 그 사람이 되보려고 했는지 생각해."
군계일학,"01. 내가 생각하는 성공은 네 것과는 다른 것이다 내 나이 벌써 마흔인데 해놓은 게 아무것도 없어 테지만, 결론은 하나였다. 어려운 역경 속에서도 당당히 이겨내어 성공을 거머쥐다. 그래서 나는 이런 내가 참 좋다 [IDIOM], 철두철미, 솔선수범, 언행일치, 대기만성, 살신성인 등."
백전백승,"Happy Ever After? 12 솔져스 치밀한 할리우드식 제국주의 를 본 것 자체는 잘했지만, 글을 쓰는 건 생각보다 어렵겠다는 생각이 들었다. 그래도 쓰긴 써야지. 적을 알고 나를 알면 [IDIOM]이리 12 솔져스는 9.11 테러 이후 비밀리에 진행된 11일간의 미군 비공식 작전 실화를 기반으로 만들어진 영화다. 배경만."
백전백승,"신자유주의와 어린 왕자 어린왕자의 귀환 신자유주의의 우주에서 살아남는 법을 읽고 한 청년은 평생 자신의 삶에서 돈과 경제를 떼어낼 수 없다면, 오히려 그 경제라는 것을 전공으로 공부하여, 지피지기면 [IDIOM]해보자고 하였다. 그리고 그 청년은 본인 스스로에게 묻는다. 나는 무엇을 위해 일을 하고, 무엇을 위해 돈을 버는가. 무엇."
백전백승,나를 나로 지키며 사는 것은 어.려.움 아니 그 과정 중에 반드시 일어나야만 한다. 이웃나라의 전쟁이야기 중 나오는 말이 꼭 들어맞는 건 아니지만 지피지기면 [IDIOM]이라는 말은 어떤 상황이나 사건에 적용되기보다 자기 자신에게 적용되었을 때 가장 잘 들어맞는다는 생각을 한다. 나를.
백전백승,"[월말세일]034호 화상회의 플랫폼 상 줌, 구글 미트, 마이크로소프트 팀즈,시스코 웹엑스,네이버웨일온 시스코 웹엑스, 마이크로소프트 팀즈, 네이버 웨일온, 구글 미트 등 다양한 플랫폼이 존재한다. 적을 알고 나를 알아야 [IDIOM]이라는 말이 있듯이, 줌 피로 증후군이라는 불편함과 피로를 줄이기 위해서라면 이런 다양한 플랫폼을 살펴보고 자신에게."
백전백승,외식업체창업 내 가게는 어디에 차려야할까? 외식업장 입지를 알아보는 방법! 입지를 선정하실 때 꼭! 주차공간까지 입지를 넓게 생각하셔서 창업하시는 것이 좋습니다. 상권정보시스템 지피지기면 [IDIOM] 소상공인 상권정보시스템을 이용하자 내 가게의 컨셉과 내 가게의 방문하는 고객들에 대해서 깊게 생각했다면 그 다음으로는.
군계일학,의대공대경영대 대학생활 비교하기 나에게 맞는 전공찾기 평균성적은 100점 만점에 50점대! 나는 70점을 받았으므로 2등이란다! 나만 못하는 줄 알았더니 남들도 못한다. 물론 [IDIOM]으로 제일 높은 점수를 받은 친구는 무려 90점을 받았다. 이 정도 괴물은 되어야 공대에서 교수를 할 수 있는건가? 시험.
대기만성,"삶의 방향성, 감사! 당장 바뀌는 변화를 원한다면 감사하라! 지점 실적은 놀라웠으며 지점 분위기 또한 좋아져서 누구나 선망하는 지점이 되었다. 이분을 통해서 배운 것이 방향성이다. [IDIOM]은 방향성이 빚어낸 걸작임이 다시 한번 입증된 셈이다. 반면 젊은 나이에 초고속 승진한 경우에 중도 좌천 또한 종종."
개과천선,"11. 마당을 나온 암탉을 어쩌면 좋나 꿈이 말했다, 현실은 여기라고 너 저번에 집에 왔을 때 아버지가 괜히 청소기 들고 왔다 갔다 안 하더나."" 어머니가 이야기는 그렇게 해도 아버지가 [IDIOM]을 한 것은 아니었다. 어머니와 긴 통화를 하다 보면 집안 사정을 어렴풋이 알 수 있었다. 식성도 생김새도 아버지를 닮았다는."
다다익선,"한국 음식이 알려준 스웨덴 여자의 첫 경험 티니카가 전하는 스웨덴과 다른 한국 음식 문화 교훈 두 가지를 얻었다. 첫째, '신신익선 매운 음식을 많이 먹으면 먹을수록 도움이 된다'. 한국 사자성어 중 [IDIOM]이 있다면, 나는 한국의 매운 음식을 통해 '신신익선'을 배웠다. 인생에서 절대 늦은 때는 없다는데, 역시 매운."
개과천선,"하이틴 코미디로 그냥 넘어가기에는 좀 그렇지 시니어 이어, 스포일러 없는 리뷰 넘어간다. 그리고 주인공의 친구들 성격 묘사가 좀 지나치다고 생각했던 부분이 있다. 이 주위 사람들의 성격은 주인공의 [IDIOM]으로 이뤄진다는 점에서 중요할 것이다. 친구들에 감정 이입해서 대신 말해주는 사이다가 터져야 극에 집중할 수 있다고도."
마부작침,"청와대 국민청원은 광장이 될 수 있을까? 광장의 실현인가, 밀실의 파괴인가 소위 청원 무용론이다. 실제로 청원에 의해 즉각적으로 문제가 해결된 경우는 많지 않다. SBS 데이터 저널리즘 팀 [IDIOM]이 청원 게시판이 만들어진 2017년 8월부터 2018년 12월까지의 청원을 전수 조사한 결과, 게시판에 올라온 약 35만 건의."
대기만성,"제 5화 인내의 시간을 잘 견딘이에게만 찾아가는 [셀프드림하우스, 달콤엄마의 행복버킷리스트] 인내의 시간을 잘 견딘 이에게만 찾아가는 기다림의 계절이다 그렇다면 여기서 잠깐! 인생의 찬란한 봄날을 맞이한 [IDIOM] 스타 한 명을 소개해 본다. MBC '우리들의 일밤나는 가수다라는 프로그램을 기억하는가? 이 프로그램을 통해 스타가 된."
군계일학,"왜 오마하의 현인이라 부르는가? 2 워런 버핏의 주주 서한 경영진에게 따끔한 회초리가 된다. 본인도 기업을 경영하지만 불합리하고 비도덕적인 행위에 거침없이 말하는 워런 버핏은 [IDIOM]이다. 경영진의 비도덕성에 대한 투자자의 말도 말이지만, 세상의 많은 사람들이 워런 버핏의 다양한 구절을 이해하고."
다다익선,웹사이트 진단을 위한 무료 구글 툴 소개 구글 툴 4가지에 대해서 소개합니다. 1. 페이지 속도 테스트 도구 PageSpeed Insights 많으면 많을수록 좋다는 뜻의 [IDIOM]이라는 사자성어 다들 아시죠? 비슷한 맥락에서 웹페이지 속도는 빠르면 빠를수록 좋습니다. 빠른 웹페이지 속도는 구글.
군계일학,드로잉 [IDIOM] 블로그 친구분께서 제목을 붙여주셨다. [IDIOM] 생각해보니 적절한 제목이다. 여러 군상들 속에 누군가가 유독 눈에 들어왔는가 보다.
다다익선,"2 퇴사 계획은 [IDIOM] 퇴사 후 계획은 한 가지가 아니라 여러가지를 세우도록 하자 ""삼십대를 넘긴 모든 페이스북 동료는 그런 사정에 처해 있었다. 페이스북은 뛰라고 요구했고, 그들이 물어볼 수 있는 질문은 '얼마나 높이 뛸까요?' 뿐이었다. 그리고 그들은 실제로 뛰었다. 회사의 모토를 되뇌며 급여를 주는 인물이 요구하는 장애물을."
대기만성,"비와이의 매력, 데이 데이로 정점을 찍다. 독보적 괴물 래퍼로 불리는 이유. 쇼미더머니에서 이제 우승을 이미 차지한 듯 여유가 넘치는 비와이. 힙합을 좋아하지 않는 사람이라도 주목해 볼 만한 [IDIOM]형 래퍼임에 분명하다. 그리고 그의 성장하는 방식, 대중문화를 저글링하는 방식, 자신의 신념을 하고 싶은 일에 녹여내는."
군계일학,"[개똥행복] 사람과 가장 빨리 친해지는 원시적인 방법 기법에 빠지면서 여러 책들을 찾아봤습니다. 동탄시온교회의 하근수 목사님이 쓴 ""인사만 잘해도 먹고는 산다'라는 책은 [IDIOM] 같은 책이었습니다. 순식간에 이 책을 다 읽었습니다. 인사의 중요성뿐 아니라 인사의 철학을 목회에 접목시켜 큰 성공을."
대기만성,"호모 러너스쿠스, 달리는 인간 인천 국제 하프 마라톤 참가기 이봉주 선수가 그 좋은 예다. 그래서 마라톤에 비유되는 인생에서도 늦었다고 생각되는 때가 가장 빠른 때이고, 누구나 [IDIOM]을 꿈꿀 수도 있지 않을까 한다. 마지막 1km 구간은 매 순간순간 당장 뜀박질을 멈추고 고통에서 벗어나고 싶은 욕망이 극에."
백전백승,"제주 해비치리조트 아이 동반 가족 여행엔 [IDIOM] 제주 해비치호텔, 제주 가족여행, 아이 동반 제주 숙소 우리 아이 방학도 다가오고 있는데, 아직 여름 휴가지도 못 정하고 있어서 고민 중이라면 여기를 주목해 보자. 야외 수영장과 키즈 아케이드 등 다양한 부대시설과 실용적인 객실까지 있어 만족도 100를 자랑하는 제주 해비치리조트 준비해 왔다. 지금."
대기만성,"미쿡공돌이에서 VC가 되기까지 3 모든 게 새로웠고 생소했지만, 유익했던 인턴십 또는 '그래 패자부활전이라고 생각하고 동기들 전부 먼저 진출해도 나는 나의 국적과 처지가 있으니 1년만 더 늦게 [IDIOM]형으로 실리콘밸리에 가서 살아남아 보자' 라는 긍정회로 이랄까. 당시 아마 여러가지 생각이 들었을 겁니다. 당시 iPod 조직이."
개과천선,"태풍이 지나가고 복잡한 시간 뒤에 찾아오는 인생의 단순함 어쩐지 다시 풀릴 것 같지 않다는 씁쓸한 추측을 할 뿐이다. 그의 가족들, 어머니와 누나와 심지어 그의 아들까지도 그의 [IDIOM]을 크게 기대하지 않는다. 그럼에도 불구하고, 어머니는 습관처럼 동네 사람들에게 아들의 재능과 소설을 자랑하고, 아들의."
다다익선,"양모와 실 원단 1 댄디 마리아노 루비나치다. 수트 차림의 그의 모습은 항상 멋지다. 출처 Voxsartoria 고객 입장에서 선택 가능한 원단의 수는 [IDIOM]일 듯하지만, 수트를 주문하는 남성이 감당이 되지 않을 정도로 많은 선택지 앞에서 당황하게 되는 일 역시 부지기수."
개과천선,"펩시로 만든 다이아반지가 있다? 음료의 새활용 음료로 살림장만하는 사람들 만약에 우리가 미래를 생각한다면 어떨까? 적어도 내가 가장 많이 소비하는 것은 마실거리니까. 음료와 나, 누가 더 먼저 [IDIOM] 될 것인가에 대한 생각을 쭉 해왔다. 결국 답은 음료였다. 심지어 재활용만으로 살림살이를 해결할 수도 있겠더라고. 오늘."
군계일학,"봄비 소리를 들으며 어느 햇살이 따스한 봄날 목련꽃 외에도 개나리나 진달래, 수선화, 라일락, 벚꽃 등 꽃이란 꽃은 모두 다 좋아한다. 그러나 목련꽃은 그중에서도 [IDIOM]처럼 단연 돋보이는 꽃임에 틀림없다. 내가 살고 있는 아파트에는 목련 나무가 무척 많다. 겨울에는 전혀 몰랐었는데 봄이."
독서망양,[IDIOM] 봄 새벽 덧창을 여니 총총한 별이 손흔든다 속창을 여니 맑은 바람이 노래한다 새 아침이야 굳은 팔 다리를 흔들어 인사 하고 책을 편다 변무 편의 망양 후한시대 고봉의 표맥 . 생계의 가장 큰 자산이다 책에 빠져 멈춘 시간 충분 하다
함흥차사,고양이는 코로나에 걸리지 않길 코로나 격리 생활기 나는 것이다. 큰딸은 방에서 못 나오게 해 놓고 밥을 안 준다. 톡으로 만두라도 구워주라고 하니 달랑 4개씩 구워주고 [IDIOM] 한다. 내가 올드보이 최민식이냐 밥을 먹어야 기운을 차리지. 아는 지인 작가님이 통닭 쿠폰을 보내주셔서 그걸로 허기를.
백전백승,"이성을 유혹하는 9가지 유형. 당신의 유형은? 로버트 그린 유혹의 기술 하지만 한 번의 만남으로 끝나지 않으려면 상대를 유혹해야 한다. 유혹은 심리전이다. 그래서 전략이 필요하다. 지피지기면 [IDIOM]! 로버트 그린의 책 유혹의 기술에서는 총 9가지 유형의 유혹자를 보여준다. 9가지 유형 모두 매력적이지만, 그중."
대기만성,"못된 상사를 갈구는 발칙한 상상 6 신이 내린 부하의 권리, 연습을 시작해 보자 나도 함께 살겠다는 의지가 들어있다. 사람의 말은 상대가 있고, 항상 두 가지 이상으로 해석될 수 있다는 점을 명심하자. [IDIOM]이란 말도 많은 잠재력을 말해주는 것인 동시에 당장은 손이 느려서 손이 많이 간다는 말처럼. 이 정도만 질문해도 보고서."
백전백승,"밥 한번 먹자 차 한잔 하자 그리고 전화할게 그리운 모국어 되었다. 마음이 갈피를 못 잡는 이유가 무엇인지를 파악하자 마음을 달래기가 수월했다. 지피지기면 [IDIOM]이라 했나. 적을 알고 나를 알면 [IDIOM]이라고? 그 적도, 나도 둘 다 '나'라면? 그렇다면 싸울 일이 뭐가 있나. 달래 가며 가야지. 우울은."
대기만성,"내 인생, 급등주처럼 내게도 그날은 오는가 주인의 젊은 시절을 뜻한다. 반대로 사적 영역은 결과를 만들어가는 중장년 시기를 나타낸다. 결과는 중장년에? 또 그놈의 [IDIOM]인가. 속단하긴 이르다. 여덟 글자는 10년마다 새로운 국면을 맞이한다. 대운이라 불리는 에너지다. 이뿐이 아니다. 매년."
다다익선,"TV가 거거익선이라고? 결혼 2년 차, 혼수에 대한 반추 거거익선 '[IDIOM]'에서 파생된 말로 크면 클수록 좋다는 의미를 가지고 있으며, 남편이 TV 혹은 침대 등 제품의 사이즈를 표현하는 데에 주로 사용되는 단위. 결혼의 꽃, 신혼집 꾸미기가 시작될 무렵이었다. 남편은 집에 들이는."
